,Gender,Age,Annual Income (k$),Spending Score (1-100),Income cluster,Spending and Income Cluster
710,M,37.0,54.9,56.0,2,0
711,M,34.0,27.4,55.0,0,2
712,F,31.0,47.7,58.0,0,0
713,M,38.0,48.3,78.0,0,2
714,M,35.0,49.0,49.0,0,0
715,M,44.0,87.2,35.0,2,4
716,M,36.0,36.4,47.0,0,0
717,F,36.0,41.7,54.0,0,0
718,F,32.0,37.9,59.0,0,0
719,M,35.0,39.3,56.0,0,0
720,M,37.0,63.1,34.0,2,3
721,M,21.0,15.0,64.0,0,2
722,M,24.0,21.4,75.0,0,2
723,F,41.0,77.4,41.0,2,3
724,F,36.0,37.8,64.0,0,2
725,M,34.0,40.6,51.0,0,0
726,M,35.0,48.1,58.0,0,0
727,M,38.0,48.3,52.0,0,0
728,F,31.0,37.7,45.0,0,0
729,M,29.0,30.6,61.0,0,2
730,F,37.0,37.1,44.0,0,0
731,M,27.0,33.8,50.0,0,0
732,F,38.0,65.0,45.0,2,3
733,M,21.0,20.5,63.0,0,2
734,F,43.0,83.9,21.0,2,4
735,M,39.0,58.3,56.0,2,3
736,M,37.0,39.0,59.0,0,0
737,M,43.0,94.8,22.0,1,4
738,F,48.0,86.1,14.0,2,4
739,M,43.0,89.0,30.0,1,4
740,F,20.0,15.0,58.0,0,2
741,F,25.0,42.1,54.0,0,0
742,M,30.0,42.8,49.0,0,0
743,M,35.0,50.0,29.0,0,3
744,M,39.0,54.7,43.0,2,3
745,F,29.0,32.8,54.0,0,2
746,M,36.0,57.0,53.0,2,3
747,F,29.0,35.9,49.0,0,0
748,F,30.0,20.9,78.0,0,2
749,M,24.0,16.9,43.0,0,2
750,M,36.0,45.9,64.0,0,0
751,M,40.0,66.0,39.0,2,3
752,M,63.0,95.5,19.0,1,4
753,M,36.0,57.2,47.0,2,3
754,M,53.0,75.1,41.0,2,3
755,F,48.0,92.4,23.0,1,4
756,F,59.0,90.9,6.0,1,1
757,F,76.0,125.5,1.0,1,1
758,M,63.0,95.2,9.0,1,1
759,F,31.0,41.8,55.0,0,0
760,F,20.0,15.0,74.0,0,2
761,F,34.0,54.0,38.0,0,3
762,F,55.0,108.3,20.0,1,1
763,F,21.0,25.1,52.0,0,2
764,M,49.0,77.0,31.0,2,4
765,M,55.0,105.3,16.0,1,1
766,F,39.0,47.1,35.0,0,0
767,F,66.0,108.2,1.0,1,1
768,F,25.0,40.8,67.0,0,2
769,M,23.0,32.6,65.0,0,2
770,M,63.0,90.2,12.0,1,4
771,F,49.0,96.9,26.0,1,4
772,M,61.0,82.1,15.0,2,4
774,F,33.0,45.6,50.0,0,0
775,M,69.0,91.8,5.0,1,1
776,M,68.0,95.7,14.0,1,1
777,F,61.0,90.1,7.0,1,1
778,M,35.0,43.2,68.0,0,2
779,M,55.0,81.9,9.0,2,4
780,F,40.0,76.4,54.0,2,3
781,M,24.0,27.8,54.0,0,2
782,M,75.0,116.0,1.0,1,1
783,F,26.0,23.4,41.0,0,2
784,F,77.0,129.6,1.0,1,1
785,F,46.0,92.7,17.0,1,4
786,M,29.0,30.9,52.0,0,2
787,F,52.0,90.2,23.0,1,4
788,M,72.0,116.1,1.0,1,1
789,F,63.0,93.1,13.0,1,4
790,M,68.0,103.9,3.0,1,1
791,F,59.0,112.5,1.0,1,1
792,F,61.0,77.1,11.0,2,4
793,F,71.0,120.9,6.0,1,1
794,F,33.0,42.6,45.0,0,0
795,M,48.0,84.3,46.0,2,4
796,F,32.0,39.5,52.0,0,0
797,F,79.0,124.5,1.0,1,1
798,M,77.0,107.4,1.0,1,1
799,F,20.0,30.6,68.0,0,2
800,M,62.0,94.5,11.0,1,1
801,F,75.0,121.1,1.0,1,1
802,F,29.0,42.4,52.0,0,0
803,F,53.0,92.6,26.0,1,4
804,M,75.0,121.4,1.0,1,1
805,F,20.0,16.5,61.0,0,2
806,F,61.0,99.2,17.0,1,1
807,F,36.0,30.4,74.0,0,2
808,M,75.0,116.8,1.0,1,1
809,M,78.0,118.2,1.0,1,1
810,F,77.0,124.7,1.0,1,1
811,M,47.0,93.4,1.0,1,1
812,F,71.0,104.7,1.0,1,1
813,F,70.0,102.9,1.0,1,1
814,F,38.0,50.1,44.0,0,0
815,F,69.0,99.6,2.0,1,1
816,F,20.0,25.3,57.0,0,2
817,F,55.0,102.0,28.0,1,4
818,F,32.0,16.9,64.0,0,2
819,M,25.0,24.6,52.0,0,2
820,M,23.0,15.7,73.0,0,2
821,M,61.0,79.3,17.0,2,4
822,M,39.0,42.9,56.0,0,0
823,M,63.0,96.9,5.0,1,1
824,M,22.0,32.8,49.0,0,0
825,M,38.0,53.5,48.0,0,0
826,F,51.0,79.0,30.0,2,4
827,F,67.0,106.8,5.0,1,1
828,F,38.0,47.3,47.0,0,0
829,F,57.0,100.3,1.0,1,1
830,M,73.0,104.8,1.0,1,1
831,M,56.0,79.3,33.0,2,4
832,F,32.0,37.1,52.0,0,0
833,F,20.0,19.9,58.0,0,2
834,M,72.0,111.4,1.0,1,1
835,F,19.0,15.0,54.0,0,2
836,F,72.0,104.6,1.0,1,1
837,F,51.0,93.9,22.0,1,4
838,F,76.0,108.9,1.0,1,1
839,M,68.0,111.2,1.0,1,1
840,F,80.0,118.6,1.0,1,1
841,F,40.0,74.0,43.0,2,3
842,M,66.0,89.7,8.0,1,1
843,M,43.0,71.9,41.0,2,3
844,F,48.0,101.9,41.0,1,4
845,M,57.0,104.4,10.0,1,1
846,F,72.0,120.0,1.0,1,1
847,F,79.0,129.0,1.0,1,1
848,M,66.0,92.6,1.0,1,1
849,F,44.0,81.0,28.0,2,4
850,F,44.0,59.5,37.0,2,3
851,F,64.0,108.4,7.0,1,1
852,F,33.0,32.4,80.0,0,2
853,M,25.0,34.7,48.0,0,0
854,M,40.0,74.6,34.0,2,4
855,F,36.0,62.0,44.0,2,3
856,M,36.0,44.1,56.0,0,0
857,F,32.0,45.9,54.0,0,0
858,F,21.0,38.7,66.0,0,2
859,F,19.0,15.0,37.0,0,2
860,F,79.0,112.5,1.0,1,1
861,F,45.0,60.3,36.0,2,3
862,M,42.0,81.0,46.0,2,3
863,F,60.0,90.6,1.0,1,1
864,M,32.0,37.2,25.0,0,0
865,M,77.0,124.7,1.0,1,1
866,F,67.0,104.7,3.0,1,1
867,F,24.0,29.2,47.0,0,0
868,F,44.0,82.2,23.0,2,4
869,F,73.0,124.2,1.0,1,1
870,F,77.0,113.6,1.0,1,1
871,M,47.0,79.1,26.0,2,4
872,F,56.0,99.6,22.0,1,4
873,F,28.0,39.6,26.0,0,0
874,M,79.0,132.0,1.0,1,1
875,M,32.0,43.8,41.0,0,0
876,F,76.0,128.9,1.0,1,1
877,M,58.0,95.6,11.0,1,1
878,F,56.0,116.1,18.0,1,1
879,M,50.0,97.5,4.0,1,1
880,M,32.0,46.1,52.0,0,0
881,F,29.0,49.1,56.0,0,0
882,M,32.0,26.9,78.0,0,2
883,M,30.0,32.4,52.0,0,2
884,M,66.0,95.5,9.0,1,1
885,M,40.0,74.1,20.0,2,4
886,M,22.0,15.0,39.0,0,2
887,M,78.0,129.1,1.0,1,1
888,F,73.0,125.0,1.0,1,1
889,F,76.0,125.0,1.0,1,1
890,M,80.0,128.9,1.0,1,1
892,F,43.0,75.3,55.0,2,3
893,F,65.0,109.6,6.0,1,1
894,M,61.0,98.6,14.0,1,1
895,F,28.0,32.7,57.0,0,2
896,M,69.0,103.5,1.0,1,1
897,F,32.0,24.0,74.0,0,2
898,M,32.0,31.6,51.0,0,2
899,M,51.0,109.2,23.0,1,1
900,F,55.0,80.3,10.0,2,4
901,F,54.0,100.0,7.0,1,1
902,M,24.0,33.9,70.0,0,2
903,F,72.0,102.2,1.0,1,1
904,F,34.0,45.3,66.0,0,0
905,F,26.0,36.9,54.0,0,0
906,M,73.0,114.1,1.0,1,1
907,M,77.0,144.1,1.0,1,1
908,F,71.0,97.1,1.0,1,1
909,F,68.0,113.5,3.0,1,1
910,F,59.0,110.5,9.0,1,1
911,M,52.0,97.9,6.0,1,1
912,M,23.0,27.5,60.0,0,2
913,F,43.0,62.5,64.0,2,3
914,F,41.0,72.3,44.0,2,3
915,F,34.0,28.9,58.0,0,2
916,F,63.0,100.8,19.0,1,1
917,F,49.0,95.7,27.0,1,4
918,F,23.0,29.1,59.0,0,2
919,M,32.0,48.7,40.0,0,0
920,F,60.0,102.3,13.0,1,1
921,M,23.0,25.2,69.0,0,2
922,F,71.0,103.4,1.0,1,1
923,F,49.0,78.0,46.0,2,3
924,M,48.0,80.5,30.0,2,4
925,M,55.0,109.1,5.0,1,1
926,M,69.0,104.9,8.0,1,1
927,M,40.0,72.0,36.0,2,3
928,F,60.0,104.5,18.0,1,1
929,M,53.0,97.0,18.0,1,4
930,F,35.0,50.9,49.0,0,0
931,M,72.0,127.7,1.0,1,1
932,F,67.0,96.2,7.0,1,1
933,F,59.0,102.4,1.0,1,1
934,F,71.0,112.3,1.0,1,1
935,F,72.0,117.4,1.0,1,1
937,F,70.0,101.6,1.0,1,1
938,M,61.0,99.5,1.0,1,1
939,F,60.0,111.5,1.0,1,1
940,M,56.0,85.6,2.0,2,1
941,M,65.0,110.4,1.0,1,1
942,F,28.0,42.4,47.0,0,0
943,M,73.0,115.1,1.0,1,1
944,F,72.0,112.8,1.0,1,1
945,M,20.0,23.0,62.0,0,2
946,F,69.0,99.9,21.0,1,4
947,M,26.0,29.6,43.0,0,0
948,F,39.0,35.6,66.0,0,2
949,F,64.0,104.8,15.0,1,1
950,F,28.0,20.5,54.0,0,2
951,F,69.0,118.8,1.0,1,1
952,M,70.0,106.0,1.0,1,1
953,F,49.0,82.8,32.0,2,4
954,M,18.0,15.0,76.0,0,2
955,M,36.0,45.1,57.0,0,0
956,M,56.0,118.4,14.0,1,1
957,F,79.0,104.9,1.0,1,1
958,M,57.0,110.8,1.0,1,1
959,M,34.0,46.5,49.0,0,0
960,M,57.0,86.4,33.0,2,4
961,F,51.0,83.4,13.0,2,4
962,F,66.0,114.8,1.0,1,1
963,M,25.0,20.0,63.0,0,2
964,F,65.0,90.4,1.0,1,1
965,F,52.0,92.8,15.0,1,4
966,M,78.0,125.7,1.0,1,1
967,M,39.0,45.3,37.0,0,0
968,F,57.0,100.0,6.0,1,1
969,M,76.0,111.2,1.0,1,1
970,F,24.0,34.6,42.0,0,0
971,F,76.0,127.9,1.0,1,1
972,F,61.0,96.7,6.0,1,1
973,F,22.0,25.1,66.0,0,2
974,F,37.0,63.3,42.0,2,3
975,F,62.0,94.2,7.0,1,1
976,M,22.0,15.0,63.0,0,2
977,M,54.0,107.4,1.0,1,1
978,F,39.0,69.5,46.0,2,3
979,F,56.0,92.8,23.0,1,4
980,F,21.0,17.5,57.0,0,2
981,M,72.0,115.5,1.0,1,1
982,F,78.0,122.6,1.0,1,1
983,M,78.0,115.1,1.0,1,1
984,F,64.0,106.8,6.0,1,1
985,F,26.0,48.0,47.0,0,0
986,M,65.0,101.2,5.0,1,1
987,M,20.0,15.0,61.0,0,2
988,F,19.0,15.0,74.0,0,2
989,F,38.0,53.1,37.0,0,3
990,F,48.0,92.8,19.0,1,4
991,M,66.0,105.2,12.0,1,1
992,M,60.0,100.1,6.0,1,1
993,M,46.0,73.8,44.0,2,3
994,M,35.0,36.9,72.0,0,2
995,M,80.0,133.3,1.0,1,1
996,M,44.0,82.6,40.0,2,4
997,F,46.0,67.7,26.0,2,4
998,F,28.0,45.7,59.0,0,0
999,M,67.0,107.8,1.0,1,1
